address,area,direction,furniture,numBath,numBed,numFloor,price,property_back,property_road,type,type_detail,url
"Đường Ngô Gia Tự, Phường Long Biên, Quận Long Biên, Hà Nội",95.0,,Hoàn thiện cơ bản,1,1,1,14.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89441167.htm
"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",64.0,,,,2,,2.7,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89441174.htm
"Đường Thịnh Hào, Phường Trung Liệt, Quận Đống Đa, Hà Nội",53.0,,Nội thất cao cấp,6,7,5,5.3,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89441156.htm
"Đường Khương Đình, Quận Thanh Xuân, Hà Nội",40.0,,,,5,,4.1,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89441161.htm
"Đường Yên Lãng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",46.0,,Hoàn thiện cơ bản,6,6,5,6.3,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89199205.htm
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",38.0,,,4,3,5,3.9,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89243059.htm
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",32.0,,,,3,,2.0,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89440904.htm
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",45.0,,,5,4,,5.55,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88507760.htm
"cổ điển, Xã Hải Bối, Huyện Đông Anh, Hà Nội",30.0,Bắc,Nội thất đầy đủ,1,1,,3.0,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/huyen-dong-anh/mua-ban-nha-dat/87616212.htm
"kxđ, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",30.0,,Hoàn thiện cơ bản,4,3,,3.7,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89439676.htm
"Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",44.0,,Nội thất đầy đủ,3,4,4,4.1,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89439724.htm
"Đường Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",28.0,,Hoàn thiện cơ bản,3,2,4,2.69,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89439776.htm
"Đường Dương Văn Bé, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",69.0,,Nội thất đầy đủ,4,4,3,5.0,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89439795.htm
"Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",37.0,,Nội thất đầy đủ,5,4,5,3.12,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89439812.htm
"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",60.0,,,3,4,4,0.004900000000000001,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89439933.htm
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",45.0,,,5,4,,5.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89280080.htm
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",25.0,,Nội thất đầy đủ,4,3,5,3.35,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89440052.htm
"Đường Bắc Thăng Long, Xã Kim Chung, Huyện Đông Anh, Hà Nội",44.0,Đông Bắc,Nội thất đầy đủ,3,4,,2.1,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/huyen-dong-anh/mua-ban-nha-dat/88390944.htm
"Đường Thông Phong, Phường Cát Linh, Quận Đống Đa, Hà Nội",36.0,,,3,3,,7.4,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89440149.htm
"Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",38.0,,,4,4,5,4.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89440167.htm
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",50.0,,Nội thất đầy đủ,4,5,5,5.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89440212.htm
"Đường Tân Mai||1018, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",23.0,,Nội thất đầy đủ,4,3,5,2.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89440342.htm
"Đường Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",35.0,,Nội thất đầy đủ,3,4,4,3.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89440510.htm
"Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",82.0,,,,2,3,15.5,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89011360.htm
"Đường Mai Động, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",40.0,,,,5,,6.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89440558.htm
"Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",58.0,,,,4,,6.9,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89440444.htm
"Đường Lương Định Của, Phường Phương Mai, Quận Đống Đa, Hà Nội",20.0,,Nội thất đầy đủ,2,2,4,2.1,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89440634.htm
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",33.0,,,,3,,1.95,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89339468.htm
"Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,,,4,4,,4.1,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89161671.htm
"Đường Đa Sỹ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",31.0,Đông Bắc,Nội thất cao cấp,4,4,5,2.65,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89228057.htm
"Đê la thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",36.0,,,4,4,7,9.98,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89443376.htm
"Đường Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",31.0,Đông,Nội thất đầy đủ,3,3,4,1.9,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/88404283.htm
"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",35.0,,,1,2,2,0.75,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/88442974.htm
"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",30.0,,,,3,,1.52,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89442938.htm
"Đường Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",22.0,,,3,3,,2.1,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89441106.htm
"215, Đường Thanh Am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",43.0,Tây,Bàn giao thô,1,2,1,6.4,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88632921.htm
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",30.0,,Hoàn thiện cơ bản,4,3,5,2.85,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-bac-tu-liem/mua-ban-nha-dat/89440834.htm
"Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",44.0,,Nội thất đầy đủ,3,4,4,4.1,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89452710.htm
"Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",60.0,,Nội thất đầy đủ,5,5,6,7.8,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89452784.htm
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",44.1,Đông Nam,Hoàn thiện cơ bản,3,4,5,10.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-nha-dat/86771998.htm
"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",30.0,,Nội thất đầy đủ,6,3,,3.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89424378.htm
"Đường Nguyễn Trãi, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",32.0,,,,3,5,3.9,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89350732.htm
"Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",46.0,Bắc,Nội thất đầy đủ,4,3,,3.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88590133.htm
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",40.0,,Nội thất cao cấp,3,4,4,2.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89441471.htm
"Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội",37.0,Bắc,Hoàn thiện cơ bản,4,5,5,3.63,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89134569.htm
"Đường Hàm Nghi, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",60.0,,,Nhiều hơn 6 phòng,9,7,10.2,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89441436.htm
"ĐƯỜNG YÊN HÒA, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",50.0,,Nội thất cao cấp,6,5,7,9.1,,Hẻm xe hơi,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89355095.htm
"Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",31.0,,Nội thất đầy đủ,4,3,5,2.7,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89043074.htm
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",50.0,,,,6,5,6.8,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/88510586.htm
"Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",55.0,,Nội thất cao cấp,Nhiều hơn 6 phòng,7,,5.4,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89442222.htm
"Trịnh Văn Bô, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",33.0,Đông Nam,Nội thất cao cấp,4,3,5,2.6,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89442310.htm
"Đường Đại Từ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",36.0,,,Nhiều hơn 6 phòng,nhiều hơn 10 phòng,,4.8,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89410004.htm
"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",44.0,Đông Nam,Nội thất đầy đủ,1,1,,1.75,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88802433.htm
"Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",80.0,,Nội thất cao cấp,4,4,,19.2,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89146720.htm
"Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",44.0,,,4,5,5,6.49,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/88905536.htm
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",100.0,,,6,6,7,19.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89170792.htm
"Đường Nguyễn Văn Cừ, Phường Long Biên, Quận Long Biên, Hà Nội",160.0,,Nội thất đầy đủ,Nhiều hơn 6 phòng,nhiều hơn 10 phòng,8,14.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89443516.htm
"298, Đường Ngọc Hồi, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",31.0,,Hoàn thiện cơ bản,3,4,,2.15,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-nha-dat/89360979.htm
"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",37.0,,,4,4,,2.24,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/87444748.htm
"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",44.0,,,,4,,4.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89443964.htm
"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",31.0,Đông Nam,Nội thất đầy đủ,4,3,,2.35,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/87103841.htm
"Khu đô thị Geleximco Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",31.0,Đông Nam,Hoàn thiện cơ bản,2,3,3,1.4,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/76338079.htm
"Phố trung kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",56.0,,,,6,,9.1,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89444336.htm
"Đường Vũ Trọng Phụng, Quận Thanh Xuân, Hà Nội",40.0,Đông Nam,Nội thất đầy đủ,6,4,6,4.25,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89444052.htm
"Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",90.0,,Nội thất cao cấp,4,4,4,17.2,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89352756.htm
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",100.0,,,6,6,7,19.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89170636.htm
"Đường Phố Vọng, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",45.0,,,,4,,19.0,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89445872.htm
"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",68.0,,,3,4,3,9.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-nha-dat/89446023.htm
"Đường Cầu Giấy, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",60.0,,,4,5,,6.4,,,Nhà ở,Nhà phố liền kề,https://nha.chotot.com/ha-noi/quan-cau-giay/mua-ban-nha-dat/89127719.htm
"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",43.0,,,,3,,4.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-thanh-xuan/mua-ban-nha-dat/89446115.htm
"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",38.0,,,5,3,,3.98,Nở hậu,,Nhà ở,Nhà biệt thự,https://nha.chotot.com/ha-noi/quan-nam-tu-liem/mua-ban-nha-dat/89446236.htm
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",40.0,,,3,4,,3.0,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89446212.htm
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",40.0,Bắc,Nội thất đầy đủ,4,3,,4.0,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89283839.htm
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Quận Long Biên, Hà Nội",48.0,Đông Nam,Nội thất đầy đủ,4,5,,4.3,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88306938.htm
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",56.0,,Nội thất cao cấp,,5,,9.5,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-nha-dat/89447136.htm
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",80.0,,,,4,,15.0,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89407836.htm
"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",36.3,Tây Bắc,Nội thất đầy đủ,3,3,4,2.95,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89447192.htm
"LH 0911214689 Việt Cường, Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",43.0,,,3,2,,15.5,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-ba-dinh/mua-ban-nha-dat/89447227.htm
"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",32.0,Tây Nam,Nội thất đầy đủ,4,3,,1.82,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/81905226.htm
"Đường Nguyễn Đức Cảnh, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",35.0,,,,4,5,2.5,Nở hậu,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89400649.htm
"Đường Võ Chí Công, Phường Bưởi, Quận Tây Hồ, Hà Nội",63.0,,Nội thất đầy đủ,,4,,12.9,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-tay-ho/mua-ban-nha-dat/89408884.htm
"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",30.0,,Nội thất cao cấp,4,3,6,3.3,,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89447294.htm
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",35.0,,,4,3,,3.5,,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hoang-mai/mua-ban-nha-dat/89447614.htm
"đường trần khát chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",30.0,,,,2,4,2.5,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-hai-ba-trung/mua-ban-nha-dat/89447638.htm
"18, Đường Vĩnh Ninh, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",31.0,Đông Nam,,3,3,,1.59,,Hẻm xe hơi,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/huyen-thanh-tri/mua-ban-nha-dat/89447714.htm
"Tư Đình - Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",30.0,Tây Nam,Nội thất đầy đủ,4,3,,2.7,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/87268568.htm
"Đường Văn Nội, Phường Phú Lương, Quận Hà Đông, Hà Nội",35.0,,Nội thất đầy đủ,4,3,4,2.65,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-ha-dong/mua-ban-nha-dat/89403476.htm
"Đường Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",56.0,,,3,3,4,4.5,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89104020.htm
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",46.0,,,,4,,3.25,,,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89447992.htm
"đường ngọc lam, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",65.0,,,5,3,,6.5,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/89448018.htm
"Đường Trần Hữu Tước, Phường Nam Đồng, Quận Đống Đa, Hà Nội",19.0,,,2,2,5,3.2,Nở hậu,,Nhà ở,Nhà mặt phố,https://nha.chotot.com/ha-noi/quan-dong-da/mua-ban-nha-dat/89236948.htm
"Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",33.0,Đông Nam,Nội thất đầy đủ,4,3,,2.95,Nở hậu,Hẻm xe hơi,Nhà ở,Nhà ngõ,https://nha.chotot.com/ha-noi/quan-long-bien/mua-ban-nha-dat/88558608.htm
