address,area,direction,furniture,numBath,numBed,numFloor,price,type,type_detail,url
"???ng M? ?ình, Ph??ng M? ?ình 2, Qu?n Nam T? Liêm, Hà N?i",81,,,,3,1,2.2,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90401106.htm
"???ng Nguy?n Ng?c V?, Ph??ng Trung Hoà, Qu?n C?u Gi?y, Hà N?i",70,,,,2,1,2.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90401300.htm
"???ng Nguy?n Trãi, Ph??ng Th??ng ?ình, Qu?n Thanh Xuân, Hà N?i",56,,N?i th?t ??y ??,2,3,1,0.61,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/88997900.htm
"???ng Thái Hà, Ph??ng Láng H?, Qu?n ??ng ?a, Hà N?i",48,Tây Nam,N?i th?t ??y ??,2,2,1,0.48,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/89637589.htm
"???ng Qu?c l? 32, Ph??ng Phúc Di?n, Qu?n B?c T? Liêm, Hà N?i",37,,N?i th?t ??y ??,1,2,1,0.55,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/88123821.htm
,36,,N?i th?t ??y ??,3,4,1,3.1,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90411591.htm
"???ng Hoàng Qu?c Vi?t, Ph??ng Ngh?a ?ô, Qu?n C?u Gi?y, Hà N?i",42,,,1,1,1,1.4,C?n h?/Chung c?,T?p th?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90412136.htm
"???ng Võ Chí Công, Ph??ng Xuân ??nh, Qu?n B?c T? Liêm, Hà N?i",80,B?c,,2,2,1,2.4,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90426230.htm
"???ng Gi?i Phóng, Ph??ng Kim Liên, Qu?n ??ng ?a, Hà N?i",30,,,1,1,1,0.62,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/83010146.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",90,?ông B?c,Hoàn thi?n c? b?n,2,3,1,3.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90426473.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",54,,,2,2,1,0.361,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/89431305.htm
"Ph? Ng?c Hà, Ph??ng Ng?c Hà, Qu?n Ba ?ình, Hà N?i",50,,,1,2,1,0.65,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/88818191.htm
"???ng Ph? Hu?, Ph??ng Ph? Hu?, Qu?n Hai Bà Tr?ng, Hà N?i",48,,,1,2,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/87199438.htm
"s? 49, Ngõ 15, s? 49, Ngõ 15  ???ng An D??ng V??ng, Ph??ng Phú Th??ng, Qu?n Tây H?, Hà N?i",219,,,2,3,1,7,C?n h?/Chung c?,Penthouse,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/90426904.htm
"???ng H? Tùng M?u, Ph??ng Phúc Di?n, Qu?n B?c T? Liêm, Hà N?i",110,,Hoàn thi?n c? b?n,2,3,1,3.35,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90426975.htm
"Khu ?TM M? Lao, Ph??ng M? Lao, Qu?n Hà ?ông, Hà N?i",85,,,,2,1,2.3,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90142353.htm
"???ng Cây Keo, Ph??ng Xuân ??nh, Qu?n B?c T? Liêm, Hà N?i",68,?ông Nam,Hoàn thi?n c? b?n,2,2,1,2.685,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90429090.htm
"???ng Quang Trung, Ph??ng Quang Trung, Qu?n Hà ?ông, Hà N?i",214,,Hoàn thi?n c? b?n,3,3,1,3.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90168924.htm
,43,Tây Nam,Hoàn thi?n c? b?n,1,1,1,1.645,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90163347.htm
"176, 176 ???ng ??nh Công, Ph??ng ??nh Công, Qu?n Hoàng Mai, Hà N?i",67,,,2,2,1,2.4,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90429504.htm
"???ng Tr?n Bình, Ph??ng Mai D?ch, Qu?n C?u Gi?y, Hà N?i",46,?ông Nam,Hoàn thi?n c? b?n,1,2,1,1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90429519.htm
"???ng Tô Hi?u, Ph??ng Hà C?u, Hà ?ông, Ha? Nô?i",83,,Hoàn thi?n c? b?n,2,3,1,2.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/88488299.htm
"???ng Nguy?n H?u Th?, Ph??ng Hoàng Li?t, Qu?n Hoàng Mai, Hà N?i",45.5,,,1,1,1,0.85,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90398601.htm
"282, ???ng Nguy?n Huy T??ng, Ph??ng Thanh Xuân Trung, Qu?n Thanh Xuân, Hà N?i",103,Tây Nam,N?i th?t ??y ??,2,3,1,3.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/90400775.htm
"N04, ???ng Hoàng ??o Thúy, Ph??ng Trung Hoà, Qu?n C?u Gi?y, Hà N?i",155,?ông B?c,N?i th?t cao c?p,3,3,1,6.51,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90437468.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",70,Tây B?c,Hoàn thi?n c? b?n,2,2,1,2.43,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90437492.htm
"???ng Nguy?n Khánh Toàn, Ph??ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i",52,Nam,N?i th?t ??y ??,2,2,1,0.58,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/89704820.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",43,,,1,1,1,0.28,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/89431599.htm
"165, ???ng Thái Hà, Ph??ng Láng H?, Qu?n ??ng ?a, Hà N?i",70,?ông B?c,Hoàn thi?n c? b?n,2,2,1,2.8,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/90011574.htm
"???ng Tr?n Th? ??, Ph??ng Th?nh Li?t, Qu?n Hoàng Mai, Hà N?i",82,Nam,Hoàn thi?n c? b?n,2,2,1,1.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90439208.htm
"Khu ?ô th? Nam Th?ng Long, Ph??ng Phú Th??ng, Qu?n Tây H?, Hà N?i",90,Nam,N?i th?t ??y ??,2,2,1,3.65,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/90219379.htm
"???ng Lê Tr?ng T?n, Ph??ng Ki?n H?ng, Qu?n Hà ?ông, Hà N?i",70,B?c,Hoàn thi?n c? b?n,2,2,1,1.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/90248740.htm
"???ng Linh Lang, Ph??ng C?ng V?, Qu?n Ba ?ình, Hà N?i",69,,N?i th?t cao c?p,,10,1,10.5,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/90443995.htm
"???ng ??i l? Th?ng Long, Ph??ng Tây M?, Qu?n Nam T? Liêm, Hà N?i",70,,,2,2,1,0.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90349113.htm
"???ng Quan Nhân, Ph??ng Nhân Chính, Qu?n Thanh Xuân, Hà N?i",60,,N?i th?t ??y ??,2,3,1,0.69,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/87314612.htm
"???ng M? ?ình, Ph??ng M? ?ình 1, Qu?n Nam T? Liêm, Hà N?i",81,,,2,3,1,2.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90395973.htm
"Lô ??t HH01, ???ng T? H?u, Ph??ng D??ng N?i, Hà ?ông, Ha? Nô?i, Ph??ng D??ng N?i, Qu?n Hà ?ông, Hà N?i",68,?ông Nam,N?i th?t ??y ??,2,2,1,2.23,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/89779732.htm
"301B nhà A1 ngõ 45 Chùa B?c, Ngõ 45 Chùa B?c, Ph??ng Trung Li?t, Qu?n ??ng ?a, Hà N?i",70,?ông Nam,N?i th?t ??y ??,1,3,1,2.25,C?n h?/Chung c?,T?p th?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/90222366.htm
"???ng Nguy?n Hoàng, Ph??ng M? ?ình 2, Qu?n Nam T? Liêm, Hà N?i",144,,,2,3,1,4.1,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/90156012.htm
"BT42-17, ???ng ??i l? Th?ng Long, Xã Yên Bài, Huy?n Ba Vì, Hà N?i",300,,N?i th?t cao c?p,3,3,1,4.5,C?n h?/Chung c?,Duplex,https://nha.chotot.com/mua-ban-can-ho-chung-cu-huyen-ba-vi-ha-noi/90448950.htm
"???ng An D??ng V??ng, Ph??ng Phú Th??ng, Qu?n Tây H?, Hà N?i",91,,,2,2,1,2.7,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-tay-ho-ha-noi/90383746.htm
"Ngách 53 ngõ 68, ???ng C?u Gi?y, Ph??ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i",52,,N?i th?t ??y ??,1,2,1,1.25,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90123820.htm
"S? 1, S? 1 ???ng Tr?n Th? ??, Ph??ng ??i Kim, Qu?n Hoàng Mai, Hà N?i",85,,,2,3,1,2.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hoang-mai-ha-noi/90449191.htm
"???ng Hoàng Hoa Thám, Ph??ng Ng?c Hà, Qu?n Ba ?ình, Hà N?i",48,,,1,2,1,1.09,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/90449503.htm
"???ng Ph?m V?n ??ng, Ph??ng C? Nhu? 1, Qu?n B?c T? Liêm, Hà N?i",75,,,2,2,1,2.05,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-bac-tu-liem-ha-noi/90136409.htm
"???ng Hoàng ??o Thúy, Ph??ng Trung Hoà, Qu?n C?u Gi?y, Hà N?i",153,?ông B?c,,3,3,1,4.4,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/90449908.htm
"???ng Nguy?n Xi?n, Xã Tân Tri?u, Huy?n Thanh Trì, Hà N?i",82.2,?ông Nam,,2,2,1,0.0376,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-huyen-thanh-tri-ha-noi/90076962.htm
"??i C?n, Ph??ng Ng?c Hà, Qu?n Ba ?ình, Hà N?i",37,,,1,1,1,0.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/89149252.htm
"???ng Khâm Thiên, Ph??ng Ph??ng Liên, Qu?n ??ng ?a, Hà N?i",35,,N?i th?t ??y ??,1,2,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/90395041.htm
"???ng Thi Sách, Ph??ng Ngô Thì Nh?m, Qu?n Hai Bà Tr?ng, Hà N?i",60,,,1,2,1,3,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/88988495.htm
"???ng Nguy?n Trãi, Ph??ng Nhân Chính, Qu?n Thanh Xuân, Hà N?i",54,,N?i th?t ??y ??,2,3,1,0.67,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/86774689.htm
,,,,,,1,,C?n h?/Chung c?,,https://nha.chotot.com
"???ng Th??ng Thanh, Ph??ng Long Biên, Qu?n Long Biên, Hà N?i",95,,,,3,1,3.16,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/90072495.htm
"???ng ??i C? Vi?t, Ph??ng Bách Khoa, Qu?n Hai Bà Tr?ng, Hà N?i",50,?ông,N?i th?t ??y ??,2,2,1,0.5,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-hai-ba-trung-ha-noi/89705131.htm
"???ng Xuân Th?y, Ph??ng Mai D?ch, Qu?n C?u Gi?y, Hà N?i",40,Tây,N?i th?t cao c?p,1,1,1,0.55,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/84566819.htm
"???ng Nguy?n V?n C?, Ph??ng B? ??, Qu?n Long Biên, Hà N?i",55,Tây B?c,N?i th?t ??y ??,2,2,1,0.6,C?n h?/Chung c?,C?n h? d?ch v?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/89670506.htm
"???ng Quan Hoa, Ph??ng Quan Hoa, Qu?n C?u Gi?y, Hà N?i",40,?ông,N?i th?t cao c?p,1,1,1,0.6,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/84566820.htm
"Lô CT3 CT4 Khu ?ô th? m?i Kim Chung, Xã Kim Chung, ?ông Anh, Hà N?i, Xã Kim Chung, Huy?n ?ông Anh, Hà N?i",61,,N?i th?t ??y ??,2,2,1,0.806,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-huyen-dong-anh-ha-noi/90403679.htm
???ng Gi?i Phóng,60,,,2,2,1,3.3,C?n h?/Chung c?,T?p th?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/90403735.htm
"???ng Hoàng V?n Thái, Ph??ng Kh??ng Trung, Qu?n Thanh Xuân, Hà N?i",35,,N?i th?t ??y ??,4,3,1,6.5,C?n h?/Chung c?,Chung c?,https://nha.chotot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/90403759.htm
